id,name,description,module,action,is_system,created_at,updated_at
perm_dashboard_view,"dashboard.view","Visualizar dashboard","dashboard","view",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_dashboard_stats,"dashboard.stats","Ver estatísticas do dashboard","dashboard","stats",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_users_view,"users.view","Visualizar usuários","users","view",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_users_create,"users.create","Criar usuários","users","create",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_users_edit,"users.edit","Editar usuários","users","edit",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_users_delete,"users.delete","Excluir usuários","users","delete",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_users_manage,"users.manage","Gerenciar usuários completamente","users","manage",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_clients_view,"clients.view","Visualizar clientes","clients","view",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_clients_create,"clients.create","Criar clientes","clients","create",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_clients_edit,"clients.edit","Editar clientes","clients","edit",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_clients_delete,"clients.delete","Excluir clientes","clients","delete",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_clients_sync,"clients.sync","Sincronizar dados Meta","clients","sync",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_ads_view,"ads.view","Visualizar anúncios","ads","view",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_ads_metrics,"ads.metrics","Ver métricas de anúncios","ads","metrics",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_ads_pause,"ads.pause","Pausar anúncios","ads","pause",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_ads_manage,"ads.manage","Gerenciar anúncios completamente","ads","manage",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_selections_view,"selections.view","Visualizar seleções","selections","view",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_selections_create,"selections.create","Criar seleções","selections","create",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_selections_edit,"selections.edit","Editar seleções","selections","edit",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_selections_delete,"selections.delete","Excluir seleções","selections","delete",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_system_setup,"system.setup","Acessar configurações do sistema","system","setup",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_system_logs,"system.logs","Ver logs do sistema","system","logs",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_selections_manage,"selections.manage","Gerenciar todas as seleções","selections","manage",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_clients_manage,"clients.manage","Gerenciar clientes (todas as ações)","clients","manage",1,"2025-09-05 01:34:13","2025-09-05 01:34:13"
perm_ads_metrics_columns,"ads.metrics.columns","Controlar quais colunas de métricas o usuário pode ver","ads","view_columns",0,"2025-09-05 01:34:14","2025-09-05 01:34:14"
perm_performance_view,"performance.view","Visualizar relatórios de performance","performance","view",0,"2025-09-05 01:34:14","2025-09-05 01:34:14"
perm_performance_export,"performance.export","Exportar dados de performance","performance","export",0,"2025-09-05 01:34:14","2025-09-05 01:34:14"
perm_permissions_manage,"permissions.manage","Gerenciar permissões de outros usuários","permissions","manage",0,"2025-09-05 01:34:14","2025-09-05 01:34:14"
